Player,A,G,Hattrick,Matches,PTS,Mean_points,Mean_goal,Mean_assists
 Martin Bosák ,54,53,6,55,107,1.95,0.96,0.98
 Jakub Horyna ,36,26,3,22,62,2.82,1.18,1.64
 Martin Fojtík ,17,43,9,18,60,3.33,2.39,0.94
 Petr Sukalovský ,7,46,5,35,53,1.51,1.31,0.2
 Aleš Martínek ,11,23,1,58,34,0.59,0.4,0.19
 Petr Zahradník ,15,14,1,60,29,0.48,0.23,0.25
 Jakub Vilim ,10,12,0,49,22,0.45,0.24,0.2
 Libor Hrach ,5,15,0,41,20,0.49,0.37,0.12
 Jan Jiráň ,15,5,0,53,20,0.38,0.09,0.28
 Marek Pukl ,10,9,0,23,19,0.83,0.39,0.43
 Tomáš Štumf ,10,7,0,36,17,0.47,0.19,0.28
 Rudolf Rubáš ,4,12,0,31,16,0.52,0.39,0.13
 Lucie Kisugite ,7,8,0,22,15,0.68,0.36,0.32
 Josef Kostelecký ,9,4,0,19,13,0.68,0.21,0.47
 Šimon Smrček ,8,3,0,39,11,0.28,0.08,0.21
 Andrej Lipan ,6,3,0,17,9,0.53,0.18,0.35
 David Hochman ,2,2,0,4,4,0,0,0
 Jan Novák ,4,0,0,22,4,0.18,0.0,0.18
 Jaroslav Drahotínský ,3,1,0,39,4,0.1,0.03,0.08
 Matej Kolesár ,2,1,0,11,3,0.27,0.09,0.18
 Viliam Virba ,1,2,0,6,3,0,0,0
 Jakub Kalfiřt ,0,2,0,10,2,0.2,0.2,0.0
 Tomáš Virba ,1,1,0,5,2,0,0,0
 Filip Gaberdén ,1,0,0,4,1,0,0,0
 Petr Čermák ,1,0,0,3,1,0,0,0
 Jan Šrámek ,0,0,0,2,0,0,0,0
 Vít Hryzák ,0,0,0,2,0,0,0,0
 Vítězslav Traurig ,0,0,0,2,0,0,0,0
