Player,A,G,Hattrick,Matches,PTS,Mean_points,Mean_goal,Mean_assists
 Jakub Hruška ,63,66,4,107,129,1.21,0.62,0.59
 Ondřej Zeman ,52,75,4,89,127,1.43,0.84,0.58
 Jakub Klement ,51,47,3,109,98,0.9,0.43,0.47
 Kryštof Hoch ,36,40,2,86,76,0.88,0.47,0.42
 Michal Šíma ,30,36,0,80,66,0.82,0.45,0.38
 Václav Boček ,15,35,0,48,50,1.04,0.73,0.31
 Daniel Klugar ,15,31,0,63,46,0.73,0.49,0.24
 Vojtěch Brávek ,16,24,3,44,40,0.91,0.55,0.36
 Mikuláš Vyleta ,13,21,0,59,34,0.58,0.36,0.22
 Filip Terč ,11,10,0,64,21,0.33,0.16,0.17
 Martin Bukovič ,13,7,0,47,20,0.43,0.15,0.28
 Jaroslav Soldán ,14,6,0,49,20,0.41,0.12,0.29
 Stanislav Kodet ,5,10,0,54,15,0.28,0.19,0.09
 Jakub Rada ,6,4,0,23,10,0.43,0.17,0.26
 Tomáš Weisser ,2,8,0,14,10,0.71,0.57,0.14
 Štěpán Kalina ,1,6,0,8,7,0,0,0
 Max Horn ,3,2,0,8,5,0,0,0
 Antonio Rotondo ,2,0,0,12,2,0.17,0.0,0.17
 Jiří Kvasnička ,2,0,0,11,2,0.18,0.0,0.18
 Jakub Rejf ,1,1,0,11,2,0.18,0.09,0.09
 Nicholas McLean ,0,0,0,5,0,0,0,0
 Josef Kopecký ,0,0,0,1,0,0,0,0
