Player,A,G,Hattrick,Matches,PTS,Mean_points,Mean_goal,Mean_assists
 Jakub Hruška ,60,64,4,105,124,1.18,0.61,0.57
 Ondřej Zeman ,48,71,4,85,119,1.4,0.84,0.56
 Jakub Klement ,50,46,3,105,96,0.91,0.44,0.48
 Kryštof Hoch ,34,35,2,82,69,0.84,0.43,0.41
 Michal Šíma ,30,36,0,78,66,0.85,0.46,0.38
 Daniel Klugar ,15,31,0,63,46,0.73,0.49,0.24
 Václav Boček ,13,30,0,44,43,0.98,0.68,0.3
 Vojtěch Brávek ,16,24,3,44,40,0.91,0.55,0.36
 Mikuláš Vyleta ,13,21,0,59,34,0.58,0.36,0.22
 Filip Terč ,11,10,0,64,21,0.33,0.16,0.17
 Martin Bukovič ,11,7,0,45,18,0.4,0.16,0.24
 Jaroslav Soldán ,13,5,0,45,18,0.4,0.11,0.29
 Stanislav Kodet ,5,10,0,52,15,0.29,0.19,0.1
 Tomáš Weisser ,2,8,0,14,10,0.71,0.57,0.14
 Jakub Rada ,5,3,0,19,8,0.42,0.16,0.26
 Štěpán Kalina ,1,6,0,8,7,0,0,0
 Max Horn ,3,2,0,8,5,0,0,0
 Antonio Rotondo ,2,0,0,12,2,0.17,0.0,0.17
 Jiří Kvasnička ,2,0,0,11,2,0.18,0.0,0.18
 Jakub Rejf ,1,1,0,11,2,0.18,0.09,0.09
 Nicholas McLean ,0,0,0,5,0,0,0,0
 Josef Kopecký ,0,0,0,1,0,0,0,0
